api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
37-019-22905,,"40.80841899998978","-79.97851900017827",PA,Butler,Forward,RUTLEDGE A UNIT DP,XTO ENERGY INC,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-019-22905,,"2621299"
37-115-21170,,"41.861905999825325","-75.96895000000305",PA,Susquehanna,Forest Lake,FOREST LAKE TWP SUSQUEHANNA CTY BRINESPREADING,FOREST LAKE TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-115-21170,,"2621300"
37-117-21641,,"41.636956000266586","-77.27713899963149",PA,Tioga,Duncan,DUNCAN TOWNSHIP TIOGA COUNTY BRINESPREADING,DUNCAN TOWNSHIP TIOGA COUNTY BRINESPREADING,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-117-21641,,"2621301"
37-015-22680,,"41.93544999985559","-76.27482200011156",PA,Bradford,Warren,WARREN TWP BRADFORD CNTY BRINESPREADING,WARREN TWP BRADFORD CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-015-22680,,"2621302"
37-115-22196,,"41.81256900018788","-75.9587950002636",PA,Susquehanna,Jessup,JESSUP TWP SUSQUEHANNA CNTY BRINESPREADING,JESSUP TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-115-22196,,"2621303"
37-105-21835,,"41.92118100006893","-78.01859999996323",PA,Potter,Oswayo,OSWAYO BOROUGH POTTER COUNTY BRINESPREADING,OSWAYO BOROUGH POTTER COUNTY BRINESPREADING,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-105-21835,,"2621304"
37-081-21276,,"41.56555000029137","-76.95240599966537",PA,Lycoming,McNett,MCNETT TWP LYCOMING CNTY BRINESPREADING,MCNETT TWP LYCOMING CNTY BRINESPREADING,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-081-21276,,"2621305"
37-WO21 16,,"41.78638900023585","-75.68444400043093",PA,Susquehanna,Harford,HARFORD TWP SUSQUEHANNA CNTY BRINESPREADING,HARFORD TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-WO21 16,,"2621306"
37-760449,,"41.92779699981016","-76.02000300033122",PA,Susquehanna,Choconut,CHOCONUT TWP SUSQUEHANNA CNTY BRINESPREADING,CHOCONUT TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-760449,,"2621307"
37-083-10934,,"41.93232100024379","-78.50540900002088",PA,McKean,Otto,HANNA 2,WILLARD M CLINE,1800-01-01,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-083-10934,,"2621339"
37-115-22364,,"41.6816660003002","-75.92133299994109",PA,Susquehanna,Springville,SPRINGVILLE TWP SUSQUEHANNA CNTY BRINESPREADING,SPRINGVILLE TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-115-22364,,"2621308"
37-95-065-012,,"41.09133199991727","-79.13432899957436",PA,Jefferson,Beaver,ALLEGHENY RIVER MINING / 5915 / 5915,NATL FUEL GAS SUPPLY CORP,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-95-065-012,,"2621309"
37-115-21289,,"41.958835999866885","-75.93505000034344",PA,Susquehanna,Silver Lake,SILVER LAKE TWP SUSQUEHANNA CNTY BRINESPREADING,SILVER LAKE TWP SUSQUEHANNA CNTY,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-115-21289,,"2621310"
37-763114,,"41.978189000328804","-77.23645799967606",PA,Tioga,Nelson,NELSON TWP TIOGA CNTY BRINESPREADING,NELSON TWP TIOGA CNTY BRINESPREADING,,,,Active,,Other / Unknown,https://wellwiki.org/wiki/37-763114,,"2621311"
37-005-00445,,"40.86046699987981","-79.42834200005402",PA,Armstrong,Boggs,YOCKEY 2,BLX INC,1800-01-01,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-005-00445,,"2621312"
37-053-29906,,"41.618977999883924","-79.04578899970763",PA,Forest,Howe,WELD 7,MCCOOL JOHN E,2011-02-28,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-053-29906,,"2621313"
37-047-20160,,"41.604270999900166","-78.64225700023577",PA,Elk,Jones,CLOPP 5F,HOWARD DRILLING INC,1970-04-18,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-047-20160,,"2621314"
37-049-22488,,"42.1155319997243","-80.07846800031035",PA,Erie,Erie,YOUNG 1,ST VINCENT HEALTH CTR,1800-01-01,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-049-22488,,"2621315"
37-123-27755,,"41.81829600020911","-79.19559799974132",PA,Warren,Pleasant,WENTZ 041,KCS ENERGY INC,1980-11-14,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-123-27755,,"2621316"
37-083-42368,,"41.86984300028207","-78.45706899988565",PA,McKean,Keating,YOUNG 5,HERZOG ROBERT L,1800-01-01,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-083-42368,,"2621317"
37-123-28320,,"41.81294499998585","-79.235062999704",PA,Warren,Pleasant,JONES 07,KCS ENERGY INC,1981-03-16,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-123-28320,,"2621318"
37-065-23630,,"41.03392200006963","-79.19603399975942",PA,Jefferson,Ringgold,AMES 1,FAIRMAN CORP,1992-12-26,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-065-23630,,"2621319"
37-031-01366,,"41.34395399985011","-79.25348599989367",PA,Clarion,Farmington,BLACK 1,G & G GAS INC,1800-01-01,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-031-01366,,"2621320"
37-083-50452,,"41.637658999811066","-78.92114999982425",PA,McKean,Wetmore,VAN 4,TITUS ENERGY LLC,2005-06-03,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-083-50452,,"2621321"
37-083-48582,,"41.836653999922945","-78.84901600026338",PA,McKean,Hamilton,LOT 2 37,SNYDER BROS INC,2002-07-30,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-083-48582,,"2621322"
37-049-25192,,"42.099615999879596","-80.17359899960377",PA,Erie,Millcreek,BARRON 1,KEVIN W BARRON,2006-05-15,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-049-25192,,"2621323"
37-123-43294,,"41.86793800003441","-78.92061300042214",PA,Warren,Mead,FOGEL 16,BEARCAT OIL CO LLC,2003-10-15,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-123-43294,,"2621324"
37-031-23711,,"41.177316999838524","-79.51713600036398",PA,Clarion,Beaver,FOX 6,L & H ENERGY CO INC,2003-07-15,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-031-23711,,"2621325"
37-121-45296,,"41.57504400020714","-79.56475599990065",PA,Venango,Allegheny,HOLTZ HI 8,5M OIL LLC,2013-09-24,,OIL,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-121-45296,,"2621326"
37-049-25154,,"42.05628399998904","-80.25910200031078",PA,Erie,Fairview,E LESKO 1,LESKO EUGENE,2004-10-01,,GAS,Active,Vertical Well,Production Well,https://wellwiki.org/wiki/37-049-25154,,"2621327"
