api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
34-035-62042,"62042","41.46839869","-81.79272194",OH,,,Cuyahoga 1 1,,1/1/1900,,OG_R,,,Other / Unknown,https://wellwiki.org/wiki/34-035-62042,,"575256"
34-073-20123,"20123","39.41884265","-82.28827139",OH,,, ,,,,OG_R,nogis_rec,,Other / Unknown,https://wellwiki.org/wiki/34-073-20123,,"576279"
47-105-00376,105-00376,"38.95037484268344","-81.53966719002088",WV,"105",,"WILKINSON, R.L.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-105-00376,,"4621213"
34-151-60010,"60010","40.69102931","-81.51543796",OH,,," 1",,,,UN_R,unknown,,Other / Unknown,https://wellwiki.org/wiki/34-151-60010,,"655846"
34-105-60314,"60314","38.89210741","-81.86093244",OH,,, ,,,,UN_R,unknown,,Other / Unknown,https://wellwiki.org/wiki/34-105-60314,,"664528"
34-009-61076,"61076","39.33620327","-81.87144127",OH,,, ,,,,UN_R,unknown,,Other / Unknown,https://wellwiki.org/wiki/34-009-61076,,"667770"
34-145-60186,"60186","38.86204607","-82.96707485",OH,,,BARNETT #2 #2,,1/1/1900,,OG_R,,,Other / Unknown,https://wellwiki.org/wiki/34-145-60186,,"578483"
47-001-02809,001-02809,"39.20687046423919","-80.11343256982434",WV,"001",,"WOLFE, A.J.",ARCH RECLAMATION SERVICES LLC,,,Gas Production,Abandoned Well,Coal Bed Methane Well,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-02809,,"4621128"
47-001-02816,001-02816,"39.250252283460604","-80.01044151391825",WV,"001",,SHILOH DEVELOPMENT,CONSOL GAS COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02816,,"4621129"
47-105-00617,105-00617,"38.98075181689187","-81.26899411841495",WV,"105",,"MILLS, WARREN",SENECA OIL COMPANY,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-105-00617,,"4621130"
